anos,viana_do_castelo,braganca,porto,castelo_branco,lisboa,beja,faro,funchal,angra_do_heroismo
2010,220,233,215,246,239,239,263,252,146
2011,232,259,245,271,268,252,292,281,177
2012,210,263,229,287,277,283,0,283,156
2013,209,241,224,253,258,268,0,288,174
2014,178,230,154,246,236,219,301,282,143
2015,212,256,241,279,276,263,312,306,193
2016,212,228,218,253,245,244,283,279,202
2017,237,279,245,292,290,284,315,303,190
2018,181,231,185,245,255,224,275,277,193
2019,199,258,215,263,258,267,312,323,197
2020,180,234,201,240,247,0,288,291,185
2021,208,243,215,275,268,0,296,289,163
