anos,viana_do_castelo,braganca,porto,castelo_branco,lisboa,beja,faro,funchal,angra_do_heroismo
2010,19.1,18.3,19.5,21.3,21.9,22.8,22.3,23,19.3
2011,19.8,19.9,20.2,22.4,22.5,23.4,22.9,23,19.5
2012,18.8,19.1,19,21.7,21.8,22.9,22.6,23.3,20.1
2013,19.1,18.7,19.8,21.4,21,23.5,22.1,22.8,20.2
2014,19.4,19,0,21.6,21.1,23.5,22.4,22.8,0
2015,19.5,19.5,19.6,22.8,22.4,24.1,22.8,22.8,20.7
2016,19.3,19.3,19.5,22.1,22.5,23.7,22.9,23,20.8
2017,20,21.1,22,23.7,22.8,24.9,23.3,23.4,20.7
2018,18.9,19.1,20,21.8,22,22.6,21.9,22.8,20.4
2019,19.6,19.7,19.4,22.6,22.4,23.5,22.5,23.6,20
2020,0,19.8,19.9,22.4,22.4,23.7,22.8,23.7,20
2021,18.9,19.5,19.5,22,21.9,23.4,22.6,23.5,20.4
