anos,viana_do_castelo,braganca,porto,castelo_branco,lisboa,beja,faro,funchal,angra_do_heroismo
2010,9.9,6.7,11.3,10.6,13.5,11.4,14.8,17.4,14.7
2011,10.3,6.8,11.7,11,14.1,11.6,14.9,17,15.1
2012,9.4,6.2,10.9,10.1,13.3,10.5,13.9,17.5,15.6
2013,10.2,6.7,11.7,10.5,13.5,11.4,14.3,17.3,15.9
2014,10.7,7.3,0,10.8,14.1,11.7,14.5,17.1,0
2015,10.3,7.1,11.6,10.9,13.7,11.7,14.8,17.2,16.1
2016,10.1,7,11.4,11.1,13.7,11.2,14.9,17.4,16
2017,9.7,6.9,10.9,11.2,13.8,11.2,14.9,17.8,15.9
2018,10.2,7.2,11.1,10.6,13.6,10.4,13.8,17.2,15.5
2019,10.1,6.8,11.2,10.6,13.7,10.4,14,17.7,15.4
2020,0,7.9,11.8,11.3,13.5,11.1,14.7,17.8,15.2
2021,10.1,7,11,10.9,13.8,10.9,14.4,17.6,15.8
